711_Known_Cancer_Genes	1661_Candidate_Cancer_Genes
Sep-06	ACTG1
SET	PAX2
SDHC	HRNR
RSPO3	GPRIN2
SNX29	GRIA2
S100A7	ATAD2
SALL4	RAB42
SBDS	HLA-DRB1
SDC4	PARP4
SDHA	ZNF28
SDHAF2	LRIG2
REL	KCNN3
RFWD3	LGALS1
RGPD3	CTSS
RHOH	ACTL6B
RMI2	NADK
RNF213	TROVE2
RAD17	RBMX
RALGDS	OR9A2
RANBP2	NCOA3
RAP1GDS1	DCTD
PRDM16	NBL1
PRF1	ZNF362
PRPF40B	MDC1
PRRX1	DIAPH1
PTK6	LAMA3
PTPN13	TRIM37
PTPN6	LRRK2
PWWP2A	SNRK
RABEP1	WNK1
PLAG1	LRRK1
POLD1	NEDD4
POLG	HSPA4
POU5F1	TMPRSS13
PPARG	C10orf113
PPFIBP1	CNTN6
NONO	DPY19L3
NR4A3	ENTPD6
PDGFB	GLYR1
PER1	REV3L
PHOX2B	ARRDC5
PBX1	CDK14
PAFAH1B2	CRIPAK
PAX3	ELAVL3
PAX7	EPYC
NUTM2B	HIST1H3H
OLIG2	IRF5
NT5C2	MAMSTR
NTHL1	NOP58
NUP214	NR1H4
NUP98	RPS15
NUTM1	TBP
ZNF429	TM4SF18
ZNF384	ZNF658
ZNF331	MAPKAPK5
ZCCHC8	LLGL1
YWHAE	VCAN
XPC	COL12A1
XPA	BAZ2B
WWTR1	FOLH1
NSD3	HEPACAM2
MYCL	TRHDE
MYH11	UBA6
MYO5A	SPATA18
N4BP2	EPRS
NAB2	LRRIQ3
NACA	C2CD6
NBN	ZFP36L2
NCKIPSD	S1PR1
NCOA1	PIK3CD
NCOA4	CSNK2A1
NDRG1	ATXN1
MTCP1	FYN
MUC1	CSNK1A1
MDM4	HLA-B
MDS2	IRF2BP2
MKL1	YTHDF2
MLF1	PDE7B
MLLT1	NOXA1
MLLT10	RELA
MLLT11	NFKBIA
MLLT3	KMO
MLLT6	TRIO
MN1	RADIL
MNX1	PLEC
MAF	CUBN
MAFB	CCDC168
LRIG3	CNOT1
LSM14A	MED13
LIFR	CYP7B1
LMNA	RASAL1
LMO1	USH2A
LMO2	HECTD1
LPP	MLH3
LCP1	MSH5
LEF1	TAF1
VTI1A	USP13
USP8	CACNA1C
LARP4B	TEX15
LASP1	AHNAK2
KDSR	SDK1
KIAA1549	RBMXL3
SHTN1	KCNA4
KIF5B	MAGI2
KLK2	PIEZO2
KAT7	GPRIN1
KCNJ5	PCSK5
KDM5A	IFI27
KAT6B	HAVCR1
JAZF1	OR2T35
JUN	KRTAP4-5
IL2	NEFH
IL21R	MRPL18
ISX	ARSD
ITGAV	MAML3
USP6	MYCBP2
IGF2BP2	LYN
UBR5	USP9X
HSP90AA1	EIF4A1
HSP90AB1	PRKD1
HOXA13	COL4A1
HOXA9	CHST10
HOXC11	LMCD1
HOXC13	ATP10B
HMGA1	CHPF2
HMGA2	MGAM
TRIM24	ASXL3
TRIM27	DDX25
TRIM33	DDX55
TRIP11	DDX60L
HIF1A	DHX30
HIP1	DHX58
HIST1H4I	POU2F2
GOLGA5	CCDC129
GPC3	HIST1H1D
GPHN	HVCN1
GMPS	ATP6V1B2
FNBP1	ZNF608
FOXO4	HIST1H1E
FOXR1	IRF7
FSTL3	HNRNPU
FUS	HIST1H3G
GAS7	VMA21
ERC1	HIST1H2AM
ERCC3	HIST1H1B
ETV1	HIST1H2BK
ETV4	HIST2H2AC
ETV5	DUXA
FEV	DEFB115
FGFR1OP	XPO4
FANCE	BRCC3
FANCF	TRAF2
FANCG	BAZ2A
EZR	GNB1
FAM131B	IGLL5
FAM47C	TRAF3
CRTC3	FAM50A
CSF3R	NXF1
CTNND2	DYRK1A
CYP2C8	SAMHD1
DDB2	EGR2
DDIT3	MYH7
DDX6	RPS13
DEK	TAB3
DGCR8	FZD1
DNAJB1	GBE1
DROSHA	DTHD1
EIF3E	SIRPB2
EIF4A2	LRRC17
CREB1	HTRA1
CREB3L1	NAV1
CREB3L2	NAV3
CNTRL	COL6A6
COL1A1	PTK2
CLP1	IPO5
CHIC2	NEB
CHST11	CHD9
CEP89	IL36A
CHCHD7	CDH2
TNFRSF17	FSIP1
TOP1	RRAS2
CD74	RRAS
CDH17	CHD8
CCDC6	SYNE1
CCNB1IP1	DNAH11
CCNC	PCLO
CANT1	PCNX4
CARS	NKX3-1
KNL1	THAP12
CASP3	H2AFV
CASP9	C6orf48
C15orf65	BANF2
BCL9	TRIM48
BIRC6	NDUFV2
BLM	KRTAP13-3
BMP5	TMEM40
BMPR1A	MRPS21
BRD4	TMEM220
BAX	ZEB2
BAZ1A	NLRP3
ATP2B3	MKI67
TMEM127	EPB41L3
TLX3	PIK3CG
TLX1	MED12L
STIL	NLRC5
SOX2	CD83
SND1	TMSB4X
SDHD	NMBR
SDHB	SBSN
RPN1	ZNF765
RBM15	HIST1H2BH
PRCC	MPEG1
PDCD1LG2	PCDH11X
PAX8	ZG16
OMD	FAM133A
NUTM2A	LRP1
NRG1	HK3
NKX2-1	TRERF1
NFIB	SMC3
MSI2	TRPM1
WAS	PCDHB1
FLI1	IRS1
LYL1	DNAH7
LHFPL6	CDH23
LEPROTL1	DNAH2
LCK	CSMD1
USP44	ARIH1
HOXD13	TET3
HOXD11	KDM1A
HOXA11	CENPF
HOOK3	NR3C1
HLF	TLE1
HEY1	FGF2
HERPUD1	PRDM9
GLI1	UCHL5
FIP1L1	CSMD2
FKBP9	HSPB8
TPM4	PLCD1
FHIT	CSPG4
FES	COL7A1
FCGR2B	DLK1
FCRL4	TGFBR3
FANCD2	DNAH9
FANCC	DOCK4
EXT1	RAPGEF1
EPS15	CLSTN2
TPM3	DYSF
EML4	HUWE1
ELK4	TNFRSF1B
CRNKL1	NFAT5
CPEB3	PIK3R6
COX6C	PIK3R5
CNBP	PIK3R4
CLTC	RELB
CD209	RHPN2
CD274	KRTAP4-3
WDCP	FANK1
CACNA1D	TBC1D29
BCL11A	CELA1
BCL2L12	CCDC61
BARD1	LPAR4
ATIC	MYL12A
ATP1A1	TNRC6A
ATF1	CEP152
ASPSCR1	ADCK1
ARNT	CDC42BPG
ARHGAP26	HYDIN
ARHGAP5	ODF3L2
ARHGEF10	HSPG2
APOBEC3B	FLG
ANK1	HMCN1
ALDH2	OR2T4
AFF4	ADAM22
AFF3	SCUBE3
AFF1	GTF2I
ACSL6	STK31
ACSL3	DGKI
ACKR3	EPHA4
ABL2	ADAMTS18
ABI1	TAF1L
A1CF	FAM46D
	MACF1
	ABCA10
	BNC2
	EYA4
	PLB1
	CNGA4
	AGO4
	CRB1
	OSMR
	TRPM2
	WWP1
	ZIC3
	UBR3
	GXYLT1
	ZNF226
	USP25
	OTOP1
	IGSF10
	ERRFI1
	HIST1H4B
	BABAM2
	BPTF
	BRD8
	IGF2
	UNCX
	TGIF1
	ELOC
	ZBTB20
	SPTAN1
	SOS1
	SOX17
	SMARCA1
	SIN3A
	SF1
	SCAF4
	RPS6KA3
	RNF111
	RHEB
	RFC1
	PTMA
	PTPDC1
	POLRMT
	PLXNB2
	PIK3R2
	PDS5B
	PGR
	NUP93
	NUP133
	NIPBL
	LEMD2
	LATS1
	LATS2
	KRT222
	KMT2B
	KIF1A
	KANSL1
	IRF2
	INPPL1
	HGF
	H3F3C
	GRIN2D
	FOXA2
	EPHA2
	EGR3
	EEF1A1
	EEF2
	DIAPH2
	DHX9
	DAZAP1
	DACH1
	CUL1
	CSDE1
	CREB3L3
	CHD3
	CBWD3
	CACNA1A
	BRD7
	BCL2L11
	ATXN3
	ARID5B
	ZC3H12A
	ZCCHC12
	ZNF133
	TTK
	SPRR2B
	PTN
	FSCB
	MCHR1
	SPANXN2
	METTL3
	EIF3A
	ZNF572
	CDH12
	ABI3
	OR8H2
	FAAH2
	NRK
	SLC2A13
	C1QL2
	NUDT11
	MAGEC2
	RUFY1
	WIPF2
	NUDT14
	TMEM243
	SLITRK3
	PKHD1L1
	LILRB1
	ZNF804B
	ZFHX4
	ADCY8
	MED1
	MAFA
	PPP1R9A
	OR5L2
	VN1R4
	NETO2
	GRM8
	PRB4
	ALLC
	THSD7A
	KCTD8
	CBARP
	COL22A1
	PKP4
	GPR174
	ADAMTS12
	OR8K1
	MEF2C
	ZNF823
	LRRTM1
	PROKR2
	KCNA6
	ANO4
	HIST1H4H
	MYO1G
	HMGB1
	GRB2
	FBXO31
	DUSP9
	BRSK1
	BCL2L10
	OFD1
	TSC22D1
	MTMR8
	KLF2
	DSC3
	DPYD
	TLL2
	MAGEC3
	DUSP7
	DCHS1
	KIAA1551
	AKAP8
	HNF1B
	KDM2B
	ANKLE2
	CD36
	MYOM2
	PPP2R5A
	RASGEF1A
	RTL9
	SERPINA1
	ZWILCH
	BABAM1
	FREM2
	LTA4H
	ANKRD26
	IMPG2
	CDC42
	CEP170
	MAS1L
	KREMEN1
	USP16
	PRKAB2
	DNER
	CCKBR
	ATXN3L
	USP29
	TDG
	TBX22
	SLC6A2
	PDIA4
	NRG3
	MKRN3
	MCHR2
	ADGRL3
	KIF27
	EYS
	CCR5
	APLNR
	CDC25C
	CMKLR1
	IL1A
	MNAT1
	PPM1L
	TRAF5
	PTGFR
	IRAK4
	FBXO32
	ITCH
	EXOC2
	NEK2
	ESPL1
	ANK2
	CHD6
	SHKBP1
	TLE4
	ALOX12
	PNRC1
	DIS3
	MAGED1
	PTK2B
	PI4KA
	MST1R
	MOS
	EPHA1
	SON
	PHF3
	EXPH5
	MYH4
	AKAP11
	CDC42BPB
	ADGRL1
	MYOM3
	GIGYF2
	SORCS1
	FUK
	PEAR1
	CARD10
	ABCC5
	CNTNAP1
	TMTC3
	SAGE1
	WDR75
	SOX5
	CFAP74
	CLCN4
	EXOC8
	CEP83
	ACSM1
	TYSND1
	ASL
	RNF207
	SFXN4
	OR4L1
	FAM92B
	IL1B
	PDCD6
	UTP20
	VWF
	AKAP13
	ALMS1
	UNC80
	AKAP6
	WDR24
	VILL
	UNC5D
	U2AF2
	TRO
	TMTC2
	TLR2
	SPRY3
	SNX7
	SLC4A10
	SRSF1
	RNF103
	RFTN1
	PROM1
	PRLR
	POF1B
	PHC2
	OR2M4
	NLN
	MUC2
	LUZP2
	KCNAB1
	GNAT1
	FSTL5
	FAM117A
	EPHB1
	DTNA
	CYP2A7
	COL25A1
	OTOGL
	CELF4
	ARHGAP28
	ALS2CL
	ADAM2
	EPG5
	ADGRL2
	PNPLA7
	RTTN
	DCAF1
	SHANK1
	ZNF804A
	AHNAK
	RYR1
	SPTBN4
	FAM111B
	CUL7
	ASB15
	FLYWCH1
	STK26
	SAMM50
	GORASP1
	ABCF2
	TMEM201
	EI24
	C7orf31
	GRHPR
	TDRD1
	TCF7
	AHI1
	ARPC1B
	ACOXL
	WDR86
	SYNGR2
	UBR1
	HTR3C
	PACSIN1
	DGKA
	DAO
	HSPA1L
	SOAT1
	USP5
	ITIH1
	OCRL
	MAP2K7
	TEX14
	SRRT
	DRD3
	NKTR
	SYNCRIP
	SERPING1
	DUSP16
	NCAPD3
	RANBP9
	PABPC1L
	MOV10
	NAT10
	MYBL2
	C6orf136
	SSH1
	ING1
	PAN3
	MARK2
	DNAAF5
	RBM12
	FAM171B
	GDF5
	PRKCQ
	LIMK1
	ADD2
	ADAMTS3
	MGAT3
	MUC17
	PAK5
	OBSCN
	KCNB2
	CCDC102A
	ASTN2
	ABCA13
	SACS
	SALL1
	THBS2
	ATP2A2
	TWNK
	KHSRP
	ZDBF2
	CDYL
	PLSCR4
	LYRM9
	GRIK3
	KIF21A
	RASSF8
	ELAVL2
	SATB2
	COL4A2
	DIP2C
	TMEM132D
	ADCY1
	NCAM2
	COL11A1
	SPHKAP
	TNN
	SLURP1
	HCN1
	TUBA3C
	ZNF536
	OR11L1
	OR10G7
	TKTL2
	TFAP2D
	XPNPEP2
	OR5B17
	FOXE1
	SLIT2
	SLC29A2
	PPP6R2
	SALL3
	ACE
	CCT6B
	VWA7
	RANBP6
	CYP4F22
	FTCD
	HIST1H2BO
	HIST1H2BC
	HIST1H2AL
	TNF
	CPS1
	H1FOO
	SLC38A8
	DUSP2
	SLITRK6
	S1PR2
	PCDHB6
	SRPX
	UNC5C
	PDGFC
	SYN2
	PASD1
	OR6K3
	UBE2A
	ACTB
	KRTAP5-5
	APOBEC2
	ERBIN
	ADAM10
	KIF1B
	ATP2C2
	RGS12
	CFAP70
	ZNF830
	PGAP2
	CTIF
	PDYN
	PTPN22
	AFF2
	OR6A2
	GPR32
	CLEC19A
	DCAF4L2
	SLC16A4
	NALCN
	MAGEA6
	EPC1
	SCN11A
	SYNE3
	NIPA2
	ZNF595
	KIF21B
	KIF16B
	PLXNA2
	OOSP2
	JAG1
	FGF5
	CNTNAP3
	CCDC81
	HIKESHI
	CLK3
	ARID3B
	ARHGAP32
	TUBGCP6
	XBP1
	SMC1B
	TNFRSF10A
	MAPK7
	LEMD3
	EPHB4
	EIF2AK4
	DST
	TRPM3
	BTNL3
	NPNT
	CCNB2
	TNFAIP6
	AMY2B
	INPP4A
	PNN
	SLC9C2
	ZNF770
	CDH19
	LIMCH1
	HOXA7
	METTL14
	HPD
	BRINP3
	HNRNPK
	TENM2
	DDX41
	WAC
	SLC9A3R1
	CPQ
	PNKD
	SLC5A3
	PDXDC1
	PDHB
	C2CD4C
	MRAS
	MICALCL
	SLC1A3
	ECT2
	GNA12
	WNT5B
	FGF19
	HSF1
