,Hugo_Symbol,breast,bladder,kidney,Entrez
88,RP11-849F2.7,6.858876404494382,6.119999999999999,10.4809375,-1
89,RBM24,218.51606741573033,200.62090909090912,30.801562500000003,221662
90,DDX25,12.76314606741573,1.7281818181818183,76.37625,29118
91,SDHC,3273.1829213483147,2851.7518181818177,6217.2209375,6391
92,CABIN1,594.19797752809,718.5054545454545,614.03625,23523
93,PPP6R3,1048.0405617977528,860.9136363636363,781.2459375000001,55291
94,FAM27E2,5.599325842696629,5.36,17.357812499999998,100289124
95,AMFR,1918.833370786517,1341.2263636363639,4241.098125,267
96,SPATA32,3.1885393258426964,2.088181818181818,1.9578125000000002,124783
97,PSMB10,1330.6820224719102,2452.735454545455,1264.48625,5699
98,ENPP2,3541.9323595505616,904.1363636363639,2393.9809375,5168
99,P4HB,11978.042247191011,10737.25090909091,8721.713437499999,5034
100,NPCDR1,0.33247191011235955,0.0,0.165,-9223372036854775808
101,PLCG1,1012.3547191011235,735.9072727272727,559.8053125,5335
102,NLE1,312.07112359550564,263.4081818181818,192.889375,54475
103,TRIM33,382.52921348314607,290.29545454545456,293.51437500000003,51592
104,MUC6,205.75808988764047,2.1818181818181817,14.37125,4588
105,UBE3C,785.0331460674157,683.5345454545454,646.161875,9690
106,IQGAP1,3926.7288764044943,3548.956363636363,2344.365625,8826
107,OR6B3,1.1121348314606743,1.5899999999999999,0.0815625,150681
108,MAD2L2,639.4382022471909,648.7672727272727,678.3184375,10459
109,SIN3A,754.1131460674158,567.7963636363637,473.138125,25942
110,ASPHD1,59.63022471910112,21.28909090909091,66.7040625,253982
111,WSB1,1510.9816853932587,1143.401818181818,1258.5328125,26118
112,LCE2B,0.3758426966292135,0.8190909090909091,0.19874999999999998,26239
113,C1GALT1,443.2523595505618,256.24,600.5234375,56913
114,FHL2,2464.805842696629,3159.104545454545,1706.3934375,2274
115,ATXN7L3,656.1119101123596,762.4381818181818,612.166875,56970
116,RP11-685N3.1,36.782471910112356,7.222727272727273,8.48375,-1
117,AGAP1,268.31988764044945,187.76999999999998,274.124375,116987
118,PLAA,492.1386516853932,381.1054545454546,409.6640625,9373
119,MUM1,747.6801123595505,530.8027272727273,427.56437500000004,-9223372036854775808
120,ACTBL2,4.177415730337078,0.6336363636363636,2.251875,345651
