,Hugo_Symbol,breast,bladder,kidney,index
1559,IRAK2,100.30078651685393,242.28636363636363,93.2278125,5624
1560,MUC1,3649.9152808988765,3654.4136363636367,14469.855937500002,7312
1561,PLCB3,260.2634831460674,424.31454545454545,185.3428125,8873
1562,GAMT,836.7167415730338,680.1318181818182,1879.100625,4307
1563,KIF6,20.454269662921348,8.81909090909091,69.15718749999999,6040
1564,SFXN5,189.25359550561797,118.44272727272727,445.3665625,10936
1565,PAF1,1194.748764044944,1532.351818181818,1236.0328125,8334
1566,HDX,56.88651685393259,48.58727272727273,50.326875,4979
1567,IRF8,299.0343820224719,194.61090909090908,249.91125,5635
1568,GNAQ,884.634606741573,720.8236363636364,576.4946875,4574
1569,REEP4,287.3339325842697,651.1545454545455,177.163125,9830
1570,GMIP,166.85393258426967,219.00090909090906,95.5340625,4558
1571,PDRG1,441.4880898876404,391.6963636363637,465.8075,8590
1572,LAMA2,676.3252808988764,411.07272727272726,144.63593749999998,6272
1573,DDAH2,2921.149887640449,2290.1163636363635,2256.631875,2903
1574,GNL3L,155.67977528089887,125.13181818181819,171.91875,4587
1575,TCFL5,231.4911235955056,192.20727272727274,170.6409375,12003
1576,TAF3,146.31988764044945,135.01636363636365,123.87875,11883
1577,C5AR1,182.10460674157304,299.33272727272737,181.1559375,1434
1578,PHF19,346.0838202247191,614.1090909090909,178.18,8713
1579,MYCN,19.19056179775281,19.171818181818182,53.9921875,7356
1580,ABL1,977.3546067415732,1520.7799999999997,657.8856250000001,219
1581,NRSN1,2.263370786516854,0.7818181818181817,1.64,7975
1582,GPR37,37.118202247191014,39.53363636363636,37.266875,4689
1583,PDGFA,625.6406741573035,380.1127272727272,611.0046875,8562
1584,VWC2L,0.412808988764045,0.5718181818181818,0.7793749999999999,13265
1585,PSG8,0.8064044943820226,0.6909090909090909,0.6240625,9265
1586,COX17,1491.6164044943819,1589.507272727273,2270.5203125,2441
1587,BMS1,287.23123595505615,263.6872727272728,197.368125,1296
1588,CNTF,18.708651685393257,9.13090909090909,13.7275,2311
1589,ADH1B,50612.04898876405,4789.064545454545,4542.086562500001,381
1590,ZBTB5,199.58752808988766,164.3072727272727,168.8428125,13490
1591,TOX2,104.55685393258429,383.6790909090909,96.51875000000001,12538
1592,BAD,1347.7931460674156,1766.2790909090909,2068.3362500000003,1137
1593,ATG13,1122.6882022471912,823.9618181818182,1041.6328125,978
1594,ELMO3,218.81134831460676,198.83545454545455,718.6484375,3505
1595,HELT,0.3091011235955057,0.28818181818181815,14.5784375,4991
1596,AICDA,1.9023595505617974,2.612727272727273,1.978125,467
1597,TRIM3,414.2979775280899,270.8390909090909,163.72218750000002,12686
1598,GPBP1,1580.6377528089886,1058.0063636363636,1119.346875,4655
1599,FSTL1,7258.2166292134825,3738.8345454545456,2116.0612499999997,4198
1600,PSMF1,2681.7773033707863,3030.4281818181817,2539.721875,9281
1601,KLF11,608.0806741573034,362.7545454545455,506.6737499999999,6073
1602,SMAD5,605.807191011236,402.53818181818184,409.87468750000005,11130
1603,ASIC2,8.352696629213485,1.0145454545454546,40.2825,908
1604,LZTS1,142.46764044943822,40.25,77.0840625,6634
1605,TRIM8,1847.0365168539327,1826.6727272727273,2592.431875,12691
1606,MYO1G,60.772584269662914,112.22636363636364,37.244375000000005,7401
1607,TM2D2,963.1360674157304,822.8127272727273,1187.9928125000001,12348
1608,HSPB9,10.668426966292134,12.403636363636364,34.051875,5211
1609,RGS4,84.5608988764045,119.5781818181818,110.9165625,9936
1610,NAA30,302.3370786516854,210.8109090909091,249.47468750000002,7454
1611,YKT6,1177.462808988764,1060.3436363636365,1151.71375,13418
1612,FSTL3,528.6448314606741,704.2336363636364,742.4334374999999,4199
1613,ENPP6,22.508314606741575,30.59454545454545,214.64656250000002,3575
1614,JAM2,1038.0117977528091,482.50454545454545,400.96875,5732
1615,CXCR6,64.22348314606742,86.86,34.4471875,2754
1616,THOC7,1806.7860674157303,1972.3845454545453,1498.409375,12178
1617,BTD,763.519775280899,453.3345454545455,775.538125,1376
1618,YIF1A,1322.3248314606742,1450.409090909091,1588.2803125,13410
