node0,node1
10691,11617
10691,11619
13972,13402
13362,13971
13362,13972
3308,13362
13362,1
7462,496
378,377
379,377
13452,8798
6511,6512
6511,6515
6511,6514
6513,6511
341,6378
7164,1
11491,11490
8376,8375
7077,7078
7143,1160
7142,1160
3534,7141
7140,1160
2755,2757
8363,8364
8344,6921
4073,8344
7164,8846
2692,1883
2009,4617
13034,12908
7637,12924
2709,7637
7637,2708
9789,2712
6362,5729
12214,12223
12214,12222
12213,12224
6818,6821
11493,11494
11735,3294
13303,12700
12150,9581
12699,12698
3341,8893
8781,8770
8766,8772
8766,8767
5363,5362
12798,11908
4328,6451
5499,2614
9283,7743
9035,9117
7082,7081
4647,4646
3152,3153
12108,5450
7708,9841
12251,4962
11667,11660
1412,1413
13122,13121
13124,13123
8191,6838
1833,1832
1804,1805
1804,1803
10707,10820
6121,7770
11665,11656
1281,11686
11686,1644
5184,4062
12787,13298
3869,11471
6690,5758
11471,2625
13128,11656
3869,4726
5652,8510
3961,1806
2904,2905
5471,5470
6,4204
8431,8849
3075,3076
5588,12143
1073,1777
1073,1778
11686,1049
1073,1780
1073,1779
4963,4962
2389,2388
9668,9667
3663,3664
13530,10448
2560,8628
8229,10166
1296,9801
4949,12277
13679,2299
9904,5573
11585,11582
5505,5728
5487,2577
5277,5728
5488,5464
12908,7637
2710,7637
7637,2705
7637,2707
7637,2706
8702,8703
7637,2712
9670,11686
2892,2891
5507,2578
5493,5728
5728,8210
11152,10378
1576,5497
10462,7936
7935,10461
7936,10461
8640,8639
11686,9653
11686,11571
7809,7806
13282,5716
10660,10657
5554,5728
5555,5729
2231,1279
10651,11688
11686,10651
10651,11687
7225,7226
7067,7068
10280,10281
10285,10286
2770,2769
13161,1776
8120,8119
6933,6771
7547,2469
2468,7547
2483,7547
7547,2487
7547,2505
8130,8132
8132,8131
3086,3219
12893,12895
1431,3022
10808,10807
8584,8588
43,9039
6917,6918
1006,1007
11417,9710
856,3593
2760,2751
4345,4335
8389,8392
3607,3431
8752,11582
3084,7866
13193,3869
8285,11058
6862,12893
7350,1635
4395,7539
6,1137
5041,5445
5046,802
5046,856
335,4056
11616,6153
4723,7636
8556,8557
7692,4155
802,5221
511,6655
11606,3689
4565,4564
1049,482
7051,328
13347,4253
7630,415
8882,6615
8392,12180
4964,5447
4965,655
7863,5184
12139,12133
5757,5758
10461,3775
10799,1724
2681,12110
7362,6856
2681,7415
7164,0
9294,3012
5758,4117
4965,3689
4248,13347
11242,11249
11150,1922
1729,1868
4118,5757
9698,1049
7545,3689
12848,4117
3432,3609
3633,1375
12872,4963
5478,5480
3623,3622
12260,13193
7725,8022
8292,11535
9666,511
1582,3860
3427,3602
7531,4483
5445,9294
1252,889
3085,7869
12002,2681
6653,12614
415,9319
11170,873
12725,5835
7972,13177
11680,7866
10796,1160
3612,3433
9328,11582
8416,6154
13464,5635
511,9324
6272,10799
4018,4006
4006,4015
4017,4006
4006,4016
13177,13170
5527,5520
415,7631
5756,3590
2574,10291
9840,6537
7866,2314
8105,1049
4962,8806
8806,2681
6270,4656
969,3689
8586,6153
4502,11405
12618,6651
12264,6606
6606,12263
8285,8790
4962,4323
6536,3069
8400,11802
8024,8013
4656,12025
6351,2681
8897,13170
12065,10799
12118,7413
7962,3633
630,12796
8295,7358
8658,8295
3869,888
4002,4018
4008,4018
4001,4018
4017,4002
4016,4002
4016,4008
4015,4002
4008,4015
11922,12541
11476,7051
12454,12599
4056,334
1326,9666
7555,11864
6856,2681
9039,9337
11802,8887
4117,5756
5557,1056
1056,335
2231,1278
1059,731
8292,802
11680,7023
12237,7359
8285,7637
6351,12251
8254,9039
9907,4965
2681,1478
8677,8562
7350,4323
7539,6134
1479,1635
11686,6862
6653,12618
3157,3503
10798,3443
10797,12135
9698,1050
12600,12454
11965,11384
12074,8405
12134,3443
9698,3166
1478,2682
5288,5472
2575,1186
731,2681
0,4966
13177,8897
796,3643
3689,11129
5184,4967
415,7632
1619,12614
11680,5029
