,0,1
206,801,54205
207,801,55107
208,801,55503
209,801,56302
210,801,56848
211,801,59271
212,801,59272
213,801,64781
214,801,65108
215,801,65220
216,801,79784
217,801,84876
218,801,85366
219,801,89910
220,801,91807
221,801,112476
222,801,146713
223,801,161253
224,801,219537
225,801,373156
226,801,407017
227,801,442904
228,801,644914
229,801,654502
230,801,654790
231,801,729873
232,801,100129696
233,801,101119228
234,5599,5599
235,5599,5601
236,5599,5602
237,5599,5604
238,5599,5608
239,5599,5609
240,5599,5610
241,5599,5617
242,5599,5663
243,5599,5728
244,5599,5732
245,5599,5743
246,5599,5747
247,5599,5757
248,5599,5777
249,5599,5801
250,5599,5806
251,5599,5817
252,5599,5829
253,5599,5879
254,5599,5894
255,5599,5911
256,5599,5914
257,5599,5925
258,5599,5931
259,5599,5937
260,5599,5966
261,5599,5970
262,5599,5979
263,5599,6041
264,5599,6188
265,5599,6196
266,5599,6198
267,5599,6237
268,5599,6251
269,5599,6285
270,5599,6300
271,5599,6310
272,5599,6317
273,5599,6347
274,5599,6348
275,5599,6351
276,5599,6352
277,5599,6361
278,5599,6364
279,5599,6376
280,5599,6385
281,5599,6401
282,5599,6402
283,5599,6414
284,5599,6416
285,5599,6425
286,5599,6464
287,5599,6469
288,5599,6477
289,5599,6517
290,5599,6558
291,5599,6571
292,5599,6610
293,5599,6648
294,5599,6667
295,5599,6689
296,5599,6696
297,5599,6714
298,5599,6722
299,5599,6772
300,5599,6774
301,5599,6776
302,5599,6781
303,5599,6790
304,5599,6850
305,5599,6885
306,5599,6895
307,5599,6900
308,5599,6908
309,5599,7012
310,5599,7033
311,5599,7039
312,5599,7040
313,5599,7042
314,5599,7052
315,5599,7057
316,5599,7074
317,5599,7076
318,5599,7082
319,5599,7097
320,5599,7099
321,5599,7114
322,5599,7124
323,5599,7128
324,5599,7132
325,5599,7133
326,5599,7157
327,5599,7161
328,5599,7185
329,5599,7186
330,5599,7189
331,5599,7201
332,5599,7225
333,5599,7295
334,5599,7296
335,5599,7318
336,5599,7341
337,5599,7398
338,5599,7409
339,5599,7412
340,5599,7421
341,5599,7422
342,5599,7428
343,5599,7474
344,5599,7475
345,5599,7476
346,5599,7481
347,5599,7494
348,5599,7504
349,5599,7508
350,5599,7707
351,5599,7709
352,5599,7786
353,5599,7837
354,5599,8045
355,5599,8091
356,5599,8195
357,5599,8215
358,5599,8288
359,5599,8312
360,5599,8411
361,5599,8428
362,5599,8491
363,5599,8518
364,5599,8600
365,5599,8660
366,5599,8678
367,5599,8717
368,5599,8737
369,5599,8743
370,5599,8764
371,5599,8767
372,5599,8771
373,5599,8772
374,5599,8775
375,5599,8792
376,5599,8795
377,5599,8797
378,5599,8837
379,5599,8839
380,5599,8841
381,5599,8842
382,5599,8864
383,5599,8887
384,5599,8994
385,5599,9020
386,5599,9043
387,5599,9064
388,5599,9080
389,5599,9221
390,5599,9235
391,5599,9241
392,5599,9255
393,5599,9260
394,5599,9261
395,5599,9314
396,5599,9344
397,5599,9370
398,5599,9402
399,5599,9423
400,5599,9429
401,5599,9448
402,5599,9451
403,5599,9467
404,5599,9474
405,5599,9479
406,5599,9518
407,5599,9531
408,5599,9564
409,5599,9618
410,5599,9817
411,5599,9839
412,5599,9927
413,5599,9935
414,5599,9943
415,5599,10013
416,5599,10018
417,5599,10114
418,5599,10135
419,5599,10256
420,5599,10397
421,5599,10399
422,5599,10411
423,5599,10413
424,5599,10524
425,5599,10533
426,5599,10550
427,5599,10625
428,5599,10630
429,5599,10672
430,5599,10673
431,5599,10746
432,5599,10771
433,5599,10840
434,5599,10870
435,5599,10892
436,5599,10911
437,5599,11009
438,5599,11075
439,5599,11141
440,5599,11143
441,5599,11167
442,5599,11168
443,5599,11184
444,5599,11186
445,5599,11221
446,5599,11315
447,5599,11342
448,5599,22882
449,5599,23005
450,5599,23043
451,5599,23162
452,5599,23164
453,5599,23327
454,5599,23411
455,5599,23433
456,5599,23435
457,5599,23452
458,5599,23523
459,5599,23541
460,5599,23542
461,5599,23552
462,5599,23586
463,5599,23779
464,5599,25920
465,5599,27071
466,5599,27250
467,5599,28935
468,5599,28988
469,5599,28996
470,5599,29126
471,5599,30835
472,5599,50488
473,5599,50861
474,5599,50943
475,5599,51311
476,5599,51477
477,5599,51497
478,5599,51528
479,5599,51561
480,5599,51562
481,5599,51741
482,5599,53942
483,5599,54106
484,5599,54205
485,5599,54625
486,5599,54700
487,5599,54739
488,5599,55802
489,5599,55872
490,5599,56547
491,5599,56616
492,5599,56850
493,5599,56852
494,5599,56882
495,5599,56940
496,5599,57521
497,5599,57551
498,5599,57630
499,5599,57650
500,5599,64388
501,5599,64806
502,5599,65018
503,5599,65268
504,5599,78986
505,5599,79109
506,5599,79594
507,5599,79661
508,5599,80315
509,5599,80342
510,5599,80824
511,5599,81551
512,5599,81620
513,5599,83667
514,5599,83737
515,5599,84106
516,5599,84231
517,5599,84864
518,5599,84991
519,5599,89780
520,5599,89846
521,5599,90427
522,5599,112476
523,5599,114907
524,5599,115286
525,5599,122769
526,5599,122953
527,5599,142679
528,5599,146433
529,5599,151306
530,5599,153562
531,5599,203245
532,5599,203447
533,5599,222344
534,5599,223117
535,5599,284403
536,5599,333926
537,5599,342527
538,5599,347745
539,5599,373156
540,5599,404552
541,5599,406913
542,5599,406924
543,5599,406938
544,5599,406947
545,5599,406991
546,5599,644314
547,5599,644914
548,5599,100132285
549,5599,101168372
550,5599,102800317
551,4524,4524
552,4524,4538
553,4524,4548
554,4524,4552
555,4524,4627
556,4524,4653
557,4524,4683
558,4524,4729
559,4524,4837
560,4524,4846
561,4524,4878
562,4524,4968
563,4524,4976
564,4524,4982
565,4524,5021
566,4524,5054
567,4524,5083
568,4524,5177
569,4524,5241
570,4524,5243
571,4524,5245
572,4524,5265
573,4524,5327
574,4524,5347
575,4524,5443
576,4524,5444
577,4524,5445
578,4524,5465
579,4524,5468
580,4524,5507
581,4524,5624
582,4524,5743
583,4524,5818
584,4524,5819
585,4524,5888
586,4524,5979
587,4524,5981
588,4524,6095
589,4524,6337
590,4524,6401
591,4524,6470
592,4524,6570
593,4524,6573
594,4524,6638
595,4524,6648
596,4524,6850
597,4524,6934
598,4524,6947
599,4524,6948
600,4524,7035
601,4524,7039
602,4524,7040
603,4524,7056
604,4524,7099
605,4524,7124
606,4524,7157
607,4524,7172
608,4524,7298
609,4524,7372
610,4524,7421
611,4524,7422
612,4524,7507
613,4524,7515
614,4524,7517
615,4524,7799
616,4524,8529
617,4524,8718
618,4524,8836
619,4524,9153
620,4524,9429
621,4524,9575
622,4524,10133
623,4524,10588
624,4524,10599
625,4524,10747
626,4524,10840
627,4524,11023
628,4524,11132
629,4524,11315
630,4524,23239
631,4524,23584
632,4524,23621
633,4524,23743
634,4524,27306
635,4524,27324
636,4524,55349
637,4524,55556
638,4524,64078
639,4524,79068
640,4524,79728
641,4524,83716
642,4524,84152
643,4524,113235
644,4524,373156
645,4524,404677
646,4524,406938
647,4524,406941
648,2153,2153
649,2153,2157
650,2153,2159
651,2153,2244
